id,wuku,becik_kanggo,ala_kanggo
1,Sinta,,
2,Landep,,
3,Wukir,,
4,Kurantil,,
5,Tolu,"Golek pangupaya jiwa, nambani lelara, nenandur, ngalih panggonan, memantu sakpanunggalane",
6,Gumbreg,,"Nenandur kitri, ngedegake omah, ngadan-adani samubarang gawe sarta lelungan"
7,Warigalit,,"Pagaweyan laku silib, lelungan adoh, mangsah perang"
8,Warigagung,,
9,Julungwangi,,"Lelungan adoh, ngalih panggonan, duwe gawe, ngadegake samubarang, anggaota pangupaya jiwo,nambani anak"
10,Sungsang,"Golek panagupaya jiwa, ngalih panggonan, gawe prasanaan, bebesanan ambebara lan nenandur",
11,Galungan,,
12,Kuningan,,
13,Langkir,,
14,Mandasiya,,"Lelungan, golek pangupayajiwa, gawe sumur, bebakal pekarangan"
15,Julungpujut,"Golek pangupayajiwa, amilala rajakaya, nandur pala kirna",
16,Pahang,,"Lelungan adoh, golek pangupayajiwa, ngadan - adani"
17,Kuruwelut,,
18,Marakeh,,
19,Tambir,"Lunga dagang, golek pangupayajiwa, nandur pala kirna, nancebake turus",
20,Medangkungan,,
21,Maktal,,
22,Wuye,"Golek manuk, nenandur, memule kaduluran, lelungan golek rejeki",
23,Manahil,,
24,Prangbakat,,"Lelungan, ngedekake omah, nandur kitri, golek pagaweyan, nambani wong lara"
25,Bala,,
26,Wugu,"Dandan - dandan omah, duwe gawe mantu, lungo golek rejeki, nandur pala kependem",
27,Wayang,"Golek rejeki, anggeguru pangawikan, ulah kawignyan ",
28,Kulawu,,
29,Dukut,,"lunga golek pangupayajiwa, anggeguru pangawikan"
30,Watugunung,,
